startup;avaliacao;processado;neutro;positivo;negativo;misto
4yousee;A 4yousee com certeza é uma das minhas melhores experiencias profissionais. Aqui eu tenho a junção entre grandes desafios, ambiente confortável para trabalho e um bom salario. Não tenho nada a reclamar! ;False;;;;
4yousee;Antes de ingressar para o time, eu sofria MUITO com a síndrome do impostor. As empresas que eu trabalhei antes da 4YouSee, não me valorizavam, me tratavam mal, etc. Depois que eu entrei aqui, eu mudei completamente. Minha produtividade aumentou, a síndrome do impostor não me machuca mais, justamente pelo valor que eles dão para todos nós. É impressionante o quanto eu evolui desde que entrei na empresa. Aqui eu não sofro com machismo, pelo contrário, todos apoiam a minha causa. É uma família que eu tenho orgulho de fazer parte! ;False;;;;
4yousee;Empresa em pleno crescimento e se destacando entre as grande do segmento que atua. Ambiente excelente para trabalhar, praticamente uma família. Diretores sempre muito atenciosos em todos os aspectos e que deixam os funcionários motivados para desempenhar suas funções.;False;;;;
99;Lugar onde conheci o que de fato é uma empresa com cultura, onde eu via todos os dias os fundadores chegando para trabalhar, com crachá, de bermuda e te dando bom dia. São pessoas que realmente buscam fazer algo melhor e afetar positivamente as pessoas. Lugar descontraído, que deixa você ser quem você é, deixa você opinar e de fato participar do Business. É um lugar mágico! Startup & 99 combinam muito. Ahhh, e assim fomos o primeiro unicórnio brasileiro. ;False;;;;
99jobs;Um dos fundadores tem problemas sérios de relacionamento. Tem um ego gigante e acredita ser um gênio, é ofensivo e por vezes inadequado. Ambiente machista e  pouco qualificado. ;False;;;;
Accera;Empresa se diz maior do Brasil, com sócios postando fotos diarias com grandes investidores mas dentro de casa é tudo precário, metade do efetivo são estágiários de engenharia que carregam o core da empresa. Só cresce quem é amigo dos chefes. Agora tem um escritório bacana em São Paulo onde o pessoal da panelinha pode ficar longe dos meros mortais.;False;;;;
Agência Onix;Excelente, liberdade de horário, opção de fazer home office e escritório flexível, trabalhei em outras agências,mas essa é a melhor de todas, foi mais me senti bem.;False;;;;
Agência Open;O dono é  uma besta, machista, misógino, bombadinho que se acha e fica  discutindo com as  pessoas  sobre  Bolsonaro. Triste demais;False;;;;
Agendor;"As startups sofrem de um grande mal de falta de cultura! A maioria adora falar de paixão, happy hour e video game. Mas trabalhar em startup não é isso. É ter vontade de fazer, e não fazer por uma falsa liberdade e autonomia. Muitas startups são empresas familiares com um produto em nuvem, mas não é isso que caracteriza uma startup. Infelizmente, esse conceito foi deturpado pelos fundadores. E isso é uma pena, muitos gostam de achar que estão no vale do silício mas empregando técnicas antigas. 

Startup não é apenas falar isso da boca para a fora e sim empregar crescimento e aprendizado rápido com tentativa e erro principalmente. 

Uma pena as startups brasileiras estatem fazendo isso, se msrcara do como empresas sérias e na verdade serem maid do mesmo.

Não adianta ler livros  de empreendedorismo se nada  vai ser mudado  na prática. ";False;;;;
Agendor;"o que mais me assusta na empresa é que ela passou por uma aceleradora no mesmo tempo do guia bolso, pagar.me, creditas... e essas empresas hoje estão  anos luz a frente. E a agendor não consegue crescer.

ceo não sabe lidar com as pessoas e não se preocupa com elas.  os livros de empreendedorismo parecem não ensinar isso. faz muito discurso sobre cultura, mas só da boca para fora. isso causa uma falta de confiança na figura dele.
Um dos co-fundadores tem tato com as pessoas e acredito que ele seria um bom ceo e é o que mais apresenta ter os valores que estão escritos em uma parede.

o trabalho no dia a dia é até bom devido as pessoas que estão ali. Tem possibilidade de home office. 

 falsa liberdade e autonomia, é apenas da boca para fora, igual a cultura. e as decisões demoram a ser tomadas.

Os salários são abaixo do mercado (exceto para os desenvolvedores). ";False;;;;
Agendor;"Se você for fazer entrevista aqui, recomendo que tome uma ""balinha"" antes porque além de faculdade boa, pós, inglês fluente e experiência prévia, você precisa ter muito ""brilho no olho""(?) mesmo pra ganhar um salário horrível. Aliás ignore as promessas de ambiente criativo, inovador, plano de carreira, horário flexível e trabalho remoto ""talvez você tenha entendido errado na entrevista"" sobre essas questões. Outra dica: diga que você adorou a história de como criaram o app durante a entrevista final, eles adoram.";False;;;;
Agendor;"A empresa é ótima funcionários super competentes todos com vontade de ver a empresa decolar, o único problema da empresa e é o que a impede de crescer é o CEO. Fraco e inseguro não tem a experiência pra conduzir a empresa pro próximo passo. Não lida bem com feedbacks negativos é super reativo e não sabe ser direto e dizer o que quer de verdade, estilo “mestre dos magos” saia da reunião e tire suas próprias conclusões sobre o que ele disse. SEMPRE precisa se explicar ou se justificar, há sempre um novo comunicado pra explicar o anterior. Fofocas e panelinhas se multiplicam por uma empresa de 20 pessoas.
Estar no Agendor é fazer o seu melhor e confiar na sua gestão direta ao passo que você ignora o que o CEO tá falando. Os salários são baixos recrutam pessoas ambiciosas para fazer trabalho operacional mas como a empresa não cresce você fica parado e desestimulado. Você nunca vai ter a confiança do CEO ou a autonomia pra fazer acontecer. No final das contas o Agendor é uma empresa familiar.
Se você precisa desenvolver a sua carreira e precisa de um mentor, essa é a última pessoa que  você pode contar. Os investidores deveriam contratar um CEO profissional e arrumar uma posição para o atual se desenvolver como funcionário fora do Agendor, quem sabe ele aprende a ser um líder e colocar a cara na rua, representando a empresa que ele fundou.";False;;;;
Agrosmart;O dia a dia dos desenvolvedores de software embarcado da Agrosmart é resolver problemas ser equipamentos necessários, sem ter equipamentos para teste, sem ter tempo para finalizar o ciclo de desenvolvimento e teste.;False;;;;
Alta Rail Technology;Apesar de uma empresa relativamente grande é e continua sendo uma startup. Uma coisa que acho muito ruim nesse mundo é a época do desinvestimento pois não se sabe o que vai ser da empresa com os novos sócios.;False;;;;
Apontador;Empresa do grupo movile, tenta passar imagem de startup mas é um dinossauro deitado esperando a morte lenta. Várias pessoas boas saindo porque não têm plano de carreira, nem direcionamento pro produto.;False;;;;
Apple (Setor AppStore);É bem difícil trabalhar aqui na Apple, sou do setor de aprovação de apps na AppStore e aqui é uma bagunça. A galera aprova os apps igual a policia federal libera as mercadorias entre Brasil e China! Tudo de qualquer jeito! Dai o stress é grande porque quem quer publicar não entende nada e temos que ficar até altas horas respondendo coisas sem sentido para olhar o Guideline! Meu! Gostava mais de quando o Jobs comandava isso aqui!;False;;;;
Arena.im;A empresa está iniciando, então a quantidade de pessoas trabalhando são poucas, porém são muito gente boa, a organização com o fluxo de tasks é muito boa. O único ponto negativo é a quantidade de horas demandada por semana que chega a ser perto de 50 horas.;False;;;;
Ásia Sistemas;Empresa bem flexível com prazos e a possibilidade de home office é real, porém o CEO peca por querer abraçar o mundo sozinho por dificuldades de saber delegar funções, motivo pelo qual eu acredito que a empresa não cresça como poderia.;False;;;;
Atos;Empresa boa pra trabalhar, mas com uma série de problemas por ser multinacional. Precisam valorizar mais as pessoas.;False;;;;
Auttogram;Equipe pequena, muito trabalho, baixo reconhecimento. Sem abusos, mas poderia ser melhor, mas já é bem bom.;False;;;;
Avenue Code;"A empresa é bem interessante para se trabalhar e bastante inclusiva. Comportamentos relacionados a qqr preconceito ou racismo sao (realmente) severamente punidos. Ponto extremamente positivo, pois parece que ser babaca e nazista se tornou um comportamento padrão em várias startups e empresas de TI!

Entretanto, a gerencia parece bem desconectada em relacao ao que acontece no tocante ao trabalho e dia a dia com os funcionários que estao alocados em clientes (e é pior ainda pros funcionários que ficam ou vao pros EUA), quase que literalmente ""tocando o foda-se"" e dizendo que o gerente do cliente tem poder total sobre a gente e eles nao podem fazer nada se eles decidem algo). A sede no Silicon Valley parece ser praticamente outra empresa completamente diferente dos escritorios no Brasil.

Ainda sobre gerencia, fora dos clientes, os assistentes da gerencia e administração (os chamados buddies) se desdobram tentando auxiliar os subordinados, porem eles tem pouquissimo poder na empresa e nem sempre contam com assistencia. 

A empresa tem bons (e verdadeiros) beneficos, porem você e praticamente se torna um escravo do trabalho e nao dura muito na empresa, dependendo do cliente em que você cai quando é contratado. Se tiver sorte, você trabalha em um ótimo cliente e vive feliz para sempre. Os beneficios entao podem n compensar, depende mto de colocar td na balança... 

As politicas de RH da empresa sao quase zero, e os processos seletivos internos sao tocados de uma maneira extremamente ridicula e com funcionarios de RH extremamente despreparados, literalmente te desanimando e desmotivando de participar de qualquer um deles. Essa parte piorou exponencialmente desde a época que eu entrei na empresa.";False;;;;
Avenue Code;A empresa teve um crescimento exorbitante nos últimos anos e isso desencadeia um monte de problemas. Os processos não acompanharam o crescimento (demonstração da falta de pro-atividade dos membros da gerencia), toda a gerencia pela primeira vez exercendo esses cargos e se mostrando que nao é por esforço que se ganha reconhecimento. As pessoas só ganham reconhecimento quando pedem para sair e por ai vai. A empresa está preocupada em contratar novos funcionários e nada em manter os que ja existem. A empresa com menos de 300 funcionários conta com +12 recrutadoras. Nunca tinha visto uma empresa com essa quantidade de recrutamento e que fazem só isso e mais nada. E para piorar ainda, o processo de contratação conta com a ajuda dos funcionários da empresa. Eles fazem as entrevistas tecnicas e ganham míseros pontos (que não dao para serem trocados em nenhum lugar). ;False;;;;
Avenue Code;"Excelente empresa que preza pela autonomia do funcionário. Parte do princípio que todos são adultos que conseguem dar conta do quanto podem fazer e se comprometerem com o necessário. Nunca tive nenhum chefe ou superior em cima de mim fazendo ""micro-gerenciamentos"". Além disso, a política de empresa de punir severamente casos de racismo, homofobia ou qualquer tipo de discriminação é realmente levada à sério, e não mais uma política fofinha pra pagarem de politicamente corretos.
É importante citar também a oportunidade de aprendizado.  Os projetos internos e clientes utilizam várias tecnologias diferentes, e tudo do que há  de mais moderno no mercado de desenvolvimento,  então ter contato com isso é muito emgradecedor para a carreira, além do suporte que a empresa garante para os funcionários que desejam tirar certificações. ";False;;;;
Banco Inter;"Empresa digital que funciona no modo 1995. Chefes machistas e, em grande parte, conservadores que acham que os ""jovens dinamicos"" tem obrigação de fazer milagre. 
A segurança, nem parece a de um banco, já vi sites de notícias que se preocupam mais. Ah, e você não se sente parte da empresa, mas sim uma simples ferramenta. ";False;;;;
Banco Neon;"O Neon começou com uma boa ideia, porém, ficou só nisso. Existem duas pessoas que ""mandam"" na empresa, o Daniel Benevides/Diretor de Design e o Pedro Conrade/CEO. 
O Pedro é um cara que executa bem as tarefas, mas é um psicopata, falso, humilha os funcionários com comentários reais só que no estilo ""zoeirinha"" com a falsa risada no final. Também é a famosa ""putinha"" dos investidores, com objetivo único e exclusivo de enriquecimento pessoal, não importa o clima da empresa e direcionamentos dos negócios.
O Bene é um cara que acha que entende de design, péssimo gosto e estilo muito brega de conceito criativo, entende apenas de UX e não muito. Manipula o Pedro para que as ideias dele sejam as escolhidas e consideradas corretas.
Resumindo, empresa com falsa horizontalidade, sem qualquer planejamento, totalmente perdida, com mentiras e esqueminhas para vender a empresa como um PUTA BANCO, mas na verdade é um cartão pré-pago hypado. Quem trabalha próximo ao Pedro sabe que ele é uma pessoa tóxica e só que te foder. 
Ah, e tem as putinhas do chefe como o Alan Chusid, que não faz porra nenhuma e só paga de trabalhador - menos irmão, ninguém tá acreditando em você.";False;;;;
Banco Neon;"Piada, apenas isso. Neon São Paulo querendo foder Banco Neon BH e, agora que o Banco foi fechado, o Pedro (CEO do Neon) deu uma de vadia e quis tirar a culpa das costas que não sabia de nada. Para de mentir menininho.
Essa história de Neon Pagamentos e Banco Neon não cola nem pras pessoas internas, imagina pro mercado..kkkk";False;;;;
Banco Neon;virou piada entre as outras startups. todo mundo conhece a índole do ceo e da sua pequena trupe de idiotas animados. gente do mal!;False;;;;
Banco Neon;"O que falar do neon?
Que trabalhamos em notebooks sucata?
Que muita gente daqui do time de dev, acha bonito fazer gambiarra, commitar mal, não documentar nada… até porque né? O dinheiro não é nosso…
Que ganhavamos um VR que mal pagava um PF no escritório da Oscar Freire??
Que nosso backend é mal feito e monolítico?
Que pediram pra gente falar bem no lovemondays…
Que nossos site é mal feito, que backend faz frontend, que frontend não entrega, que o planejamento é não ter planejamento…
Que até hoje o CTO não discordou do Pedro ou o Bene (Ux nada designer)?
Que a equipe de mobile é uma panelinha?
Que o diretor de crédito achou o projeto de crédito piada e irreal e foi pro Safra? rsrssrs essa foi a melhor.
Que até hoje, frente a um monte de problemas o CTO não toma uma decisão pensando no futuro…
Que o sobrinho do CTO era um dos poucos bons devs, e ele quitou porque não aguentou não ter mais vida?
Que um dev que queria fazer o certo, todo mundo virou as costas e ele foi pra Amazon?
Que frente ao dinheiro de um monte de gente, ninguém começou a trabalhar como empresa de verdade, e continuam trabalhando como startup fundo de quintal em cima de um MVP, sem teste, sem nada… e a responsabilidade, oh: ZERO. Dica Não ponham seu dinheiro aqui.
Que nós temos um projeto de PJ, que não saí.
Que tínhamos um ótimo PR que fazia a empresa aparecer bem na mídia, pois com certeza sem ele, muito antes as pessoas saberiam dessas cagadas, inclusive a do pottencial, não é nenhuma novidade desde 2010. Ele foi demitido porque fez brincadeira sobre o PT e Bolsonaro, sobre protestos e nosso RH não sabe resolver conflitos, nem reconhecer acertos e erros. Um banco com um monte de playboy e esquerdinhas, que de novo, trabalham em um BANCO e não numa estatal. Mas chamar os outros de viado, falar que mina de atendimento é gostosa, isso pode, isso tranquilo. E sabe o que o chefe dele fez pra manter ele??? NADA.
Ou que os diretores incentivam a entregar de qlqr jeito mais entregar, porque entregar é bom, e depois a gente corrige.
Que o próprio diretor comercial, não entrega um projeto.
Que o Pedro é um vendido…
Que o CMO, coitado, manda menos que o faxineiro.
Que desde que os sigrist’s chegaram, a vida de todo mundo virou inferno?
Ahhhh era pra falar bem? Desculpa!
Eu não vou falar do neon, porque o Neon é só uma idéia ótima, as pessoas daqui não tem essa essência, nem pensam no futuro, nem sabem como fazer…
Só querem vender a empresa, e sobreviver. Seria legal alguém fazer direito, o que o Neon queria fazer, mas nunca vai.
Se eu indico o Neon? Eu indico que você não venha e caia nessa idéia, desses vendidos e falsos, que eu caí.
No final ainda, vão falar de você quando sair. Vão falar mal quando eu sair… É foda, cérebro de minhoca.
E essa história de Neon Pagamentos? Só servia pra não transformar os funcionários em bancários e pagar os direitos certos, assim eles economizaram muito, e agora vao usar isso contra quem era do Banco haha que piada.
Fuja de trabalhar, e fuja de colocar seu dinheiro, antes que a gente suma com ele.";False;;;;
Banco Neon;"Se tava tão ruim, pagando mal e cheio de gente escrota pq não saiu antes e foi trabalhar na Disney? 

Já ta mais do que óbvio que é a mesma pessoa postando a avaliação. Ainda falou ""Como eu disse no comentário acima"". Conseguiu inventar mentira pra caralho, quanto tempo livre kkkk bj";False;;;;
Banco Neon;"Agora que o Banco Neon faliu, fica facil pro Pedro conrade falar que era parceiro. Saia em tudo quanto é reportagem falando que era ceo do banco,ceo de ""banco"" com 26, um pequeno merda que nem conseguir se formar. Ele nem tem curso superior completo, é mesmo um completo escroto. Fala mal dos funcionários para os próprios funcionários, promete um monte de coisa que não rola... Não manja absolutamente nada nem de empresa, nem de gente. Não tem simpatia nem é legal. Se cercou de amigos pra poder segurar a bronca, mas escolheu errado. O Alan Chusid está la por caisa disso, nunca enteegou um projeto, só é um alucinado que vive de aparência.  preferem até manter ele longe, se ele mete p dedo, dá bosta. CTO não tem voz. RH tipo departamento pessoal. Jean Sigrist um merda sem escrúpulos, trata todo mundo mal. Time de atendimento muito bom e dedicado e pouco ouvido. Tenho vergonha de falar que um dia trabalhei naquele lugar. Isso que aconteceu não é nada perto do que o Pedro merece. ";False;;;;
Banco Neon;Ambiente em constante melhoria, pra quem tá a mais tempo consegue ver a constante evolução e a construção da empresa. É gratificante ver o resultado do seu trabalho impactando a vida de outra pessoa positivamente, como não há equipe terceirizada, fica mais fácil ter a sensação de dono do produto. Como a empresa está em evolução, vão surgir novas áreas e novas oportunidades, as pessoas em destaques são recompensadas por isso e geralmente são promovidas em menos tempo do que seriam em uma empresa mais tradicional. O ambiente é super jovem e descontraído, há festas, pebolim, massagem, futebol, happy hours, video game, salário e benefícios competitivos o que torna a empresa uma excelente escolha para fazer carreira. Nem todos os dias são fáceis e nem todos os desafios são simples, mas não me iludo que em outro lugar seria tudo perfeito, com isso não preciso ouvir propostos do mercado já que na minha visão o Neon é o melhor lugar para trabalhar. ;False;;;;
Banco Neon;Baita empresa, com uma velocidade na resolução de problemas que é incrível. E a galera joga limpo, tem uma liderança muito forte, com um time de investidores que apoiam a ideia da empresa. Mesmo com o tombo com o Pottencial, voltou rápido para cima com o Votorantim, e o time trabalhou o final de semana inteiro focado em resolver o problema. Time muito unido.;False;;;;
Banco Neon;"Trabalhar no Neon era tudo o que eu sempre ouvi de StartUps: ""você vai correr muito, vai ser cobrado e terá que entregar."" Mesmo como estagiário, sempre tive altas responsabilidades, sempre fui ouvido, e sempre tive visibilidade. Atuei e ainda atuou em diversas áreas, me relaciono com ótimas pessoas do mercado e aprendo muito mais do que conhecidos que estão no mesmo nível, mas em outro setor. Além disso, o clima é incrível! Você percebe que a empresa está preocupada em fazer o ambiente cada vez melhor, contratando bons funcionários, fazendo eventos e divertindo todo mundo. Meu maior medo é que o clima de família e ajuda acabe. Lógico, sempre existe erros, mas há uma grande preocupação em mapear todos eles pra resolver o mais rápido possível. Sei lá, acho que vir pra cá foi a melhor decisão que eu fiz, e está sendo incrível. Não penso em sair, só me sinto mais motivado em continuar, principalmente porque minha área de atuação - publicidade - é ótima em diminuir e oprimir pessoas, além de não reconhecer quem se dedica no rolê.";False;;;;
Banco Neon;"Cultura da empresa horrível, ambiente tóxico, pessoas extremamente incompetentes, porém, provavelmente com alto QI (quem indica).
Alan Chusid é um péssimo profissional, nunca faz nada, extremamente machista e diminui as colegas de trabalho.
Pedro Conrade falso, diz muita coisa pra tentar abafar algumas situações, mas nunca é verdadeiro.
CTO excelente profissional, mas muito mole.
Diretora de RH uma piada, totalmente incompetente, atrasada e falsa - parece que a falsidade talvez seja a cultura da empresa.";False;;;;
Banco Neon;Não acredite em nada de positivo que escrevem dessa empresa. O que rola é que toda vez que alguém vem em algum lugar falar as verdades (aqui ou lovemondays) e o RH fica sabendo, sai mandando os funcionários ajudarem a deixar uma visão boa - sim, eles fazem isso porque sabem que é uma empresa sem cultura e ruim para o funcionário. Não, ninguém é valorizado. Não, os salários e benefícios são o pior que já vi em startup. O investimento que eles receberam o Pedro Conrade vai é por no bolso, porue nunca vi ele fazer nada para o Neon. Alan Chusid piada interna, não consegue entregar um único projeto funcionando. Nas últimas reuniões não consegue nem dar uma data para entregar. Rh, como eu falei, é tão incompetente que fica mais preocupado em pedir pra deixarem uma opinião boa do que construir cultura. CMO morreu e esqueceram de enterrar e o time de geek dá até dó, galera trabalha demais e ainda tenta sorrir com um salário de fome. ;False;;;;
Banco Neon;Não adianta pedir pra eu falar bem por que eu não vou falar. Se eu pudesse pedir alguma coisa era pra não cair na conversinha de que você vai construir alguma coisa. Vai só trabalhar igual idiota e ter que ver gente que não faz nada mandar em você.;False;;;;
Banco Neon;Como vc se sentiria se a pessoa mais importante de um lugar não tivesse nem curso superior? Pois é, ficaria com medo né? É como me sinta sabendo que o Pedro Conrade não concluiu a faculdade. Não se preocupa em estudar, é grosso, chama funcionário de viado e fala que odeia uma pessoa na frente de outras, que vai demitir. nem se lembra do time de atendimento. Os irmãos que investiram na empresa não entendem nada do negócio e depois que eles chegaram a vida das pessoas virou um inferno. Sem vontade de levantar de manhã para vir trabalhar;False;;;;
Banco Neon;"É esse tipo de startup que queima o setor. 
CEO despreparado, falso e sem educação com os funcionários.
RH inexistente, uma piada. Quer pedir pra avaliar positivo? Que tal pedir pra ser sincero? Que tal estudar um pouco mais?
CMO que de marketing não entende nada, estragando uma marca e todo potencial do Neon.
Design pobre, brega e sem criatividade.
Tecnologia estão de parabéns.
Alan Chusid...não tem o que falar, pois não faz nada.
Em suma, startup fraca, com péssima atitude e um time de ""liderança"" horrível.";False;;;;
Banco Neon;Ruim, muito ruim. Não se iludam achando que a vida de startup é boa ou que vão mudar o mundo com um produto que é apenas conta digital. Neon não aprova seu crédito não é porque não quer, mas porque não tem dinheiro pra isso...;False;;;;
Banco Neon;"Neon Banco e Neon Pagamentos é tudo a mesma coisa, não caiam nessa balela que o pessoal de marketing tem tentado vender, só tinha CNPJs separados pois tinham certeza que uma hora ia dar merda! 
Também não acreditem em vários posts positivos que teve acima, simplesmente vem um dos chefes implorando com comentários positivos (o mesmo é feito no Love Mondays) para a panelinha cega.
Salários baixos, processos errados, bugs ... bugs everywhere, segurança com os dados dos clientes 0, pessoas erradas em posição de liderança, machismo que da vergonha. Não dá para indicar nem inimigos trabalharem para essa empresa! Eu não sei como não fecharam ainda a empresa e muito menos como ainda tem gente colocando seu dinheiro em contas aqui.";False;;;;
Banco Neon;RH sem carater, ceo sem carater, diretores sem carater. Perdendo funcionários o tempo todo não só pelo salário de merda, mas tambem pelo pouco reconhecimento. Os funcionários vomitam nas festas, ninguém faz nada, zuado;False;;;;
Banco Neon;"Um desafio profissional que todo mundo deveria ter. Trabalhar em startup não é para os fracos. É matar um leão por dia, mas, pra quem quer crescer na carreira é a melhor experiência possível! E, nesse sentido, o Neon é a ""startup dos sonhos"". Em poucos meses saiu de um serviço financeiro desconhecido pra um dos maiores nomes em fintech do Brasil. Evoluiu muito e quem estava dentro evoluiu junto. Qualquer um que passa um tempo lá sai preparado pra qualquer coisa. Dá pra perceber que quem dá o sangue pelo Neon é quem ama o propósito e não quem vê a empresa só como mais um emprego. 
O trabalho duro do RH contribui pra grande parte desse sentimento de ""fazer parte"" de algo maior. Nunca vi um RH tão engajado, que vai contra todo o conceito de setor que ""não está nem aí para os funcionários"". No Neon o RH trabalha de verdade e com certeza isso faz toda a diferença no dia a dia. Afinal, uma empresa não é nada além de pessoas. E pessoas engajadas são capazes de fazer qualquer coisa, inclusive levantar um banco em 3 dias. ";False;;;;
Banco Neon;Tipo um banco, só que muito pior.;False;;;;
